	Idx	version	model	desc	fcst_lead	fcst_valid_beg	fcst_valid_end	fcst_init_beg	obs_lead	obs_valid_beg	obs_valid_end	fcst_var	fcst_units	fcst_lev	obs_var	obs_units	obs_lev	obtype	vx_mask	interp_mthd	interp_pnts	fcst_thresh	obs_thresh	cov_thresh	alpha	line_type	total	stat_name	stat_value	stat_ncl	stat_ncu	stat_bcl	stat_bcu
360	0	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	NA	-9999	-9999	ECNT	1289	N_GE_OBS	6197	NA	NA	NA	NA
108	0	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	NA	-9999	-9999	ECNT	1289	SPREAD	0.74039	NA	NA	NA	NA
144	0	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	NA	-9999	-9999	ECNT	1289	RMSE_OERR	NA	NA	NA	NA	NA
162	0	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	NA	-9999	-9999	ECNT	1289	SPREAD_OERR	NA	NA	NA	NA	NA
216	0	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	NA	-9999	-9999	ECNT	1289	CRPS_EMP	0.09326	NA	NA	NA	NA
180	0	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	NA	-9999	-9999	ECNT	1289	SPREAD_PLUS_OERR	NA	NA	NA	NA	NA
432	0	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	NA	-9999	-9999	ECNT	1289	IGN_CONV_OERR	NA	NA	NA	NA	NA
234	0	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	NA	-9999	-9999	ECNT	1289	CRPSCL_EMP	NA	NA	NA	NA	NA
198	0	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	NA	-9999	-9999	ECNT	1289	CRPSCL	NA	NA	NA	NA	NA
126	0	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	NA	-9999	-9999	ECNT	1289	ME_OERR	NA	NA	NA	NA	NA
235	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	CRPSCL_EMP	NA	NA	NA	NA	NA
55	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	IGN	2.71546	NA	NA	NA	NA
325	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	MAE_OERR	NA	NA	NA	NA	NA
163	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	SPREAD_OERR	NA	NA	NA	NA	NA
307	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	MAE	1.41764	NA	NA	NA	NA
181	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	SPREAD_PLUS_OERR	NA	NA	NA	NA	NA
145	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	RMSE_OERR	NA	NA	NA	NA	NA
289	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	SPREAD_MD	2.24652	NA	NA	NA	NA
199	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	CRPSCL	NA	NA	NA	NA	NA
451	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	IGN_CORR_OERR	NA	NA	NA	NA	NA
271	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	CRPS_EMP_FAIR	1.14135	NA	NA	NA	NA
217	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	CRPS_EMP	1.366	NA	NA	NA	NA
343	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	BIAS_RATIO	1.04765	NA	NA	NA	NA
253	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	CRPSS_EMP	NA	NA	NA	NA	NA
109	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	SPREAD	2.44838	NA	NA	NA	NA
127	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	ME_OERR	NA	NA	NA	NA	NA
91	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	RMSE	2.06699	NA	NA	NA	NA
73	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	ME	-1.09933	NA	NA	NA	NA
1	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	N_ENS	5.0	NA	NA	NA	NA
397	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	N_LT_OBS	248	NA	NA	NA	NA
379	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	ME_GE_OBS	2.34476	NA	NA	NA	NA
433	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	IGN_CONV_OERR	NA	NA	NA	NA	NA
361	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	N_GE_OBS	82	NA	NA	NA	NA
37	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	CRPSS	NA	NA	NA	NA	NA
415	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	ME_LT_OBS	-2.2381	NA	NA	NA	NA
19	26	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>0	-9999	-9999	ECNT	66	CRPS	1.15014	NA	NA	NA	NA
362	47	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	33	N_GE_OBS	27	NA	NA	NA	NA
398	47	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	33	N_LT_OBS	138	NA	NA	NA	NA
272	47	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	33	CRPS_EMP_FAIR	1.79939	NA	NA	NA	NA
452	47	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	33	IGN_CORR_OERR	NA	NA	NA	NA	NA
92	47	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	33	RMSE	2.81092	NA	NA	NA	NA
254	47	V12.0.0	FCST	NA	240000	2012-04-10 12:00:00	2012-04-10 12:00:00	2012-04-09 12:00:00	0	2012-04-10 10:30:00	2012-04-10 13:30:00	APCP_24	kg/m^2	A24	APCP_24	kg/m^2	A24	ADPSFC	FULL	NEAREST	1	NA	>=2.54	-9999	-9999	ECNT	33	CRPSS_EMP	NA	NA	NA	NA	NA
